Age,Salary,TimeOnWebsite,PreviousPurchases,Purchased
56,91126,29.6,3,0
46,54146,54.3,2,0
32,56915,22.4,1,0
60,34158,47.6,1,0
25,37853,22.9,5,0
38,18000,23.7,2,0
56,56213,15.0,1,0
36,110125,44.3,2,0
40,32590,26.9,4,0
28,120476,25.5,1,0
28,86114,40.9,0,0
41,44581,20.7,3,0
53,55600,31.6,1,0
57,52028,15.0,6,0
41,92536,27.1,5,0
20,66374,36.8,2,0
39,81003,14.5,0,0
19,62880,27.6,2,0
41,52537,50.3,1,0
47,62181,19.4,2,0
55,46047,15.3,0,0
19,23052,22.8,2,0
38,72901,50.4,2,0
50,21974,16.5,1,0
29,49086,12.0,3,0
39,45323,34.9,1,0
42,69154,70.4,0,0
44,89424,6.8,2,0
59,81509,39.8,1,1
45,69793,21.9,5,0
33,41143,19.8,5,0
32,50964,27.2,1,0
20,47756,18.3,2,0
54,44654,43.0,3,1
24,46146,14.8,3,0
38,45559,47.4,3,0
26,44585,31.8,0,0
56,75941,17.5,3,1
35,31798,32.2,3,0
21,38952,15.7,2,0
42,20165,18.9,4,0
31,86141,35.3,2,0
26,37477,11.0,1,0
43,69537,13.3,0,0
19,65457,30.3,2,0
37,84014,38.6,0,1
45,50380,27.9,3,0
24,34154,27.6,1,0
25,20774,17.7,1,0
52,18000,59.8,2,1
31,58550,33.2,2,0
34,72060,11.4,2,0
53,65377,39.9,0,0
57,21345,36.4,1,0
21,77854,21.3,1,0
19,39639,16.8,0,0
23,35048,33.6,0,0
59,39146,13.3,2,0
21,56725,22.5,2,0
46,22337,17.8,1,0
35,54185,17.8,3,0
43,64448,23.0,2,0
51,79361,31.4,1,0
27,58871,29.3,2,0
53,25528,41.2,3,1
31,58276,31.4,2,0
48,31674,8.6,3,0
32,30405,9.6,2,0
25,25021,22.3,2,0
31,18000,13.2,1,0
40,42522,25.1,6,1
57,79836,21.5,2,0
38,104643,32.2,2,0
33,42381,16.6,1,0
35,78894,40.9,1,0
41,46319,34.1,1,0
43,18684,71.1,2,1
42,70421,43.0,5,0
58,60166,9.2,3,0
46,94996,22.0,1,1
32,21237,7.6,0,0
18,116513,34.7,2,0
42,90018,38.9,3,1
24,54606,14.5,1,0
26,48430,11.5,2,0
41,39252,10.9,5,0
18,57414,49.7,1,0
25,50953,27.6,2,0
41,66303,41.1,4,1
28,48524,16.7,5,0
34,86129,15.3,2,1
25,57751,16.4,2,0
52,49350,18.7,2,0
52,77534,26.2,1,0
50,19304,18.7,1,0
22,62502,29.7,1,0
59,55563,20.3,4,0
56,23961,14.5,4,1
58,18000,24.6,3,1
45,77228,36.7,3,1
24,76181,15.3,2,0
26,58796,32.2,3,0
25,92766,22.8,6,0
29,64701,7.3,2,0
51,82496,42.2,1,0
50,64247,22.7,2,0
40,48932,40.1,0,0
41,31734,29.1,2,0
54,41724,9.7,3,0
52,49343,3.0,5,0
57,84989,10.7,2,0
39,71938,2.9,1,0
44,62267,30.6,0,0
52,74140,30.5,1,0
18,66602,9.4,0,0
52,60763,21.3,2,0
54,22029,40.6,3,0
31,80061,17.9,4,0
20,44913,45.1,1,0
18,78948,27.1,5,0
22,81075,21.6,0,0
43,40259,27.6,2,0
31,75894,20.6,1,0
56,47058,12.2,2,0
44,47189,11.7,5,0
26,60664,40.7,2,0
32,61258,37.8,0,0
32,55848,32.7,3,0
43,25646,20.5,1,0
59,52328,35.6,2,1
30,105127,16.9,1,0
49,18000,30.1,6,1
56,74134,22.8,0,0
49,78257,41.2,1,1
21,25116,63.6,3,0
47,44672,12.7,4,0
54,32984,26.7,4,0
40,95787,87.3,0,0
56,79267,21.5,1,0
32,80331,21.3,3,0
60,57654,50.7,1,0
46,83866,27.6,0,0
53,54819,30.9,1,0
30,84901,67.0,6,1
49,51729,40.0,6,0
24,40057,22.9,1,0
39,94841,52.0,0,0
45,54541,23.7,1,0
19,35226,21.5,1,0
59,34988,46.1,1,0
23,35055,30.0,1,0
45,73578,45.4,2,0
45,52825,75.7,1,0
37,105555,10.0,1,0
47,81096,21.9,7,1
28,60657,24.7,2,0
45,85886,10.9,3,1
42,44099,26.5,1,1
56,18000,29.4,2,0
50,33229,5.1,2,0
18,58239,50.5,5,1
44,50104,18.9,4,0
30,73137,27.5,3,0
58,52258,48.7,4,0
20,71457,14.0,7,0
56,88021,28.0,2,1
23,52191,12.3,5,0
25,67213,27.3,3,0
44,18000,23.6,2,0
26,52274,38.7,2,0
54,27897,25.2,1,0
50,58195,11.7,4,1
59,60192,9.8,1,0
41,60119,9.4,2,0
32,44437,26.0,2,0
49,105566,28.3,2,0
49,27104,25.5,3,0
41,25759,32.3,2,0
58,91410,37.2,4,0
29,39506,19.0,1,0
56,34217,14.8,0,0
19,105664,35.2,3,0
20,76686,36.7,2,0
54,41922,18.8,1,0
34,59785,31.1,2,0
19,97809,20.7,2,0
19,70216,14.4,3,0
45,83295,45.6,6,0
40,72706,61.9,2,0
54,75466,21.7,2,0
49,55874,34.6,0,0
50,55250,30.2,2,0
18,60875,7.7,3,0
36,71158,47.4,1,0
19,48767,31.1,1,0
43,57685,59.4,1,0
49,48172,18.6,3,0
23,57545,25.2,3,1
49,27478,14.3,3,0
21,112332,26.2,0,0
28,38875,24.5,0,0
34,47048,6.2,2,0
55,36976,72.3,1,0
41,68546,11.9,5,0
22,50688,34.9,3,0
51,33796,30.8,1,0
23,69451,56.5,3,0
39,72416,61.2,2,1
28,53529,13.1,1,0
33,40400,15.5,2,0
50,103203,38.5,3,1
26,62481,14.8,1,0
23,26970,77.2,6,1
33,86109,33.5,2,1
46,36173,49.1,0,0
20,115321,14.7,2,0
37,56752,49.0,3,1
53,77293,9.5,2,0
36,18000,28.7,2,0
43,26749,28.1,1,0
20,84345,57.1,1,0
36,61992,16.6,1,0
37,99933,73.1,1,1
49,65674,39.7,1,0
24,58197,32.2,4,0
58,92699,39.9,4,1
50,77223,23.8,0,0
57,50682,8.2,2,1
56,30930,12.4,5,0
35,18000,36.8,0,0
57,45371,15.5,1,0
18,28901,19.3,2,0
28,112150,47.6,1,0
45,40692,30.3,4,1
42,40090,55.6,1,0
40,21533,19.2,2,0
48,49141,23.8,4,0
47,40380,46.2,4,1
59,93230,32.8,0,0
52,58706,76.5,3,1
24,54805,12.6,4,0
33,52037,13.2,4,0
43,72296,29.4,3,0
19,45049,32.9,1,0
18,69679,13.7,1,0
29,90507,42.9,0,0
22,65122,35.3,1,0
54,49506,17.5,1,0
49,34024,28.8,1,0
26,48947,42.1,1,0
58,67388,28.7,1,0
52,21284,12.9,6,0
36,73294,6.5,3,0
33,59567,11.6,2,0
20,51718,38.8,1,0
37,40493,27.5,2,0
41,44520,20.0,3,1
50,68141,17.6,2,0
41,52179,17.0,1,0
28,43975,20.3,4,0
25,65308,23.1,2,0
53,66180,25.7,5,0
55,27518,13.7,0,0
57,67573,13.4,2,1
37,110037,24.9,3,0
52,65332,29.3,2,1
42,18000,10.4,3,1
52,58902,42.8,2,1
42,18000,21.2,3,0
46,124682,37.0,1,0
35,104185,39.1,1,1
35,40349,28.0,3,0
19,18000,21.0,2,0
52,35676,44.3,5,1
33,51018,34.5,2,0
58,18000,30.6,1,0
53,53482,17.3,2,0
50,50873,34.3,1,1
21,57753,40.3,1,0
50,60052,14.8,4,0
31,33756,48.6,2,1
38,36225,36.4,2,0
37,56003,31.8,2,0
25,41118,21.9,3,0
24,74965,57.8,3,1
20,55790,15.8,3,0
34,96030,27.9,5,1
50,73051,22.0,1,0
29,79282,10.7,3,0
39,57916,14.9,0,0
39,58462,38.6,2,0
47,93089,66.4,4,0
55,46678,39.7,3,1
55,67029,34.6,0,0
25,49143,68.2,0,0
44,49090,14.0,2,0
44,29284,16.9,2,0
51,38665,30.9,2,0
38,34578,28.2,2,0
47,68076,28.5,3,0
50,77885,19.6,0,0
45,52915,28.8,0,0
50,60052,8.3,1,0
22,51646,55.3,3,1
36,37163,31.1,1,0
21,73970,40.7,4,0
52,69356,29.8,4,0
34,18000,42.2,1,0
45,48772,26.7,3,0
47,35595,49.8,4,0
46,46399,14.4,3,1
23,40251,46.8,1,0
52,53979,46.8,0,0
58,47742,7.7,1,1
54,47275,16.3,3,1
41,79363,37.1,4,1
46,67258,28.7,4,1
48,39514,23.3,3,0
52,42778,10.5,4,0
50,65819,43.2,0,0
38,65789,25.1,1,0
49,41717,26.0,1,0
40,49852,28.7,1,1
50,95630,30.4,1,0
20,42096,15.2,1,0
35,97038,26.3,2,1
42,79281,36.5,1,0
59,92959,15.2,1,1
48,41160,51.5,3,1
20,51292,45.3,2,0
57,45118,21.3,1,0
41,79789,22.3,1,0
49,42511,8.7,2,0
39,71087,35.4,3,0
40,69923,32.7,3,0
19,53943,18.3,1,0
44,83571,50.4,2,0
59,57369,26.7,4,0
19,73350,10.4,2,0
43,44117,18.2,1,0
34,39084,9.4,1,1
57,71085,90.0,0,0
50,64478,9.3,2,0
26,60353,24.5,0,0
60,47439,16.9,2,0
56,89083,6.7,4,1
46,30435,58.9,2,0
59,29230,15.4,3,0
43,75728,38.9,3,0
52,73922,12.5,3,1
42,62783,38.2,2,0
41,48665,6.1,0,0
30,66053,61.0,1,1
24,92858,22.6,2,0
53,110342,12.3,3,0
37,18559,54.1,0,0
18,45784,18.5,1,0
25,44401,9.7,4,0
33,90783,29.2,2,0
31,18000,19.8,1,0
29,66304,27.1,1,0
40,49350,37.6,2,0
32,91038,20.6,4,0
45,88023,42.1,2,0
51,63041,38.9,5,1
19,20246,2.0,0,0
49,42374,49.9,3,1
40,44783,23.3,2,0
39,25818,37.3,2,0
42,80401,17.1,1,0
39,23025,27.9,2,0
39,98237,17.9,3,0
59,98182,17.8,1,0
23,46529,17.8,2,0
32,62227,13.7,1,0
